Origin,Treatment,Coral ID,Colony,Week,% change in SA by day,% change in vol by day
Slope,Variable,RS9A,9,5,1.827242525,12.63045719
Slope,Variable,RS9B,9,5,1.558441558,-0.288562483
Slope,Stable,RS9C,9,5,1.691729323,7.521542817
Slope,Stable,RS9D,9,5,-0.102040816,-2.401254272
Flat,Variable,RF13A,13,7,0.122100122,7.707928872
Flat,Variable,RF13B,13,7,0.37593985,-7.090710733
Flat,Stable,RF13C,13,7,0.522648084,
Flat,Stable,RF13D,13,7,0.361663653,3.874965437
Flat,Variable,RF14A,14,7,0.307219662,-8.354147783
Flat,Variable,RF14B,14,7,1.904761905,0.073125959
Flat,Stable,RF14C,14,7,2.404526167,4.687564877
Flat,Stable,RF14D,14,7,0.830564784,-3.206139324
Flat,Variable,RF15A,15,7,-0.12755102,8.296769003
Flat,Variable,RF15B,15,7,2.463054187,6.097732038
Flat,Stable,RF15C,15,7,2.887537994,-3.946576433
Flat,Stable,RF15D,15,7,-0.501253133,2.391341396
Flat,Variable,RF16A,16,7,1.904761905,
Flat,Variable,RF16B,16,7,2.216748768,12.22940164
Flat,Stable,RF16C,16,7,2.976190476,0.456258389
Flat,Stable,RF16D,16,7,,
Flat,Variable,RF17A,17,7,1.76565008,-7.784142837
Flat,Variable,RF17B,17,7,1.827242525,2.445818716
Flat,Stable,RF17C,17,7,-3.69047619,-4.552438799
Flat,Stable,RF17D,17,7,2.209131075,11.64774984
Flat,Variable,RF18A,18,7,1.335113485,10.77155586
Flat,Variable,RF18B,18,7,1.400560224,-3.713281755
Flat,Stable,RF18C,18,7,6.818181818,
Flat,Stable,RF18D,18,7,2.216748768,22.51020137
Flat,Variable,RF19A,19,7,-14.28571429,-14.28571429
Flat,Variable,RF19B,19,7,1.082251082,-0.74431081
Flat,Stable,RF19C,19,7,2.179176755,0.951005975
Flat,Stable,RF19D,19,7,-0.436205016,6.780779866
Flat,Variable,RF20A,20,7,2.893309222,2.454786342
Flat,Variable,RF20B,20,7,-0.579150579,-1.103106031
Flat,Stable,RF20C,20,7,-1.428571429,-7.392348046
Flat,Stable,RF20D,20,7,,
Flat,Variable,RF22A,22,7,4.220779221,-14.28571429
Flat,Variable,RF22B,22,7,2.012072435,-5.999085754
Flat,Variable,RF22C,22,7,0.481540931,-9.355145928
Flat,Stable,RF22D,22,7,2.285714286,16.2812851
Flat,Variable,RF23A,23,7,3.191489362,-4.285732404
Flat,Variable,RF23B,23,7,0.808625337,-3.825820301
Flat,Stable,RF23C,23,7,1.275510204,-0.781598681
Flat,Stable,RF23D,23,7,-3.346203346,-14.28571429
Flat,Variable,RF24A,24,7,2.067669173,-10.41854869
Flat,Variable,RF24B,24,7,1.045296167,0.14327855
Flat,Stable,RF24C,24,7,-0.29154519,-5.612351732
Flat,Stable,RF24D,24,7,,
Flat,Stable,RF25A,25,7,2.285714286,-2.950555352
Flat,Variable,RF25B,25,7,1.098901099,-5.247855064
Flat,Stable,RF25C,25,7,-0.655307995,-5.372988855
Flat,Stable,RF25D,25,7,2.337662338,5.576489427
Slope,Variable,RS11A,11,7,-0.204081633,-4.384255828
Slope,Variable,RS11B,11,7,4.285714286,19.40904222
Slope,Stable,RS11C,11,7,0.621118012,-1.735140833
Slope,Stable,RS11D,11,7,0.246305419,-2.518980839
Slope,Variable,RS12A,12,7,0.193050193,-6.580976147
Slope,Variable,RS12B,12,7,1.648351648,17.24312212
Slope,Stable,RS12C,12,7,0.751879699,7.330421601
Slope,Stable,RS12D,12,7,0.88365243,-7.084007716
Slope,Variable,RS13A,13,7,1.133786848,0.894584347
Slope,Variable,RS13B,13,7,-1.648351648,-5.253654701
Slope,Stable,RS13C,13,7,0.484261501,-6.446045175
Slope,Stable,RS13D,13,7,2.152641879,6.809084933
Slope,Variable,RS14A,14,7,0.21978022,-9.176522497
Slope,Variable,RS14B,14,7,1.253132832,-6.425754572
Slope,Stable,RS14C,14,7,-14.28571429,-14.28571429
Slope,Stable,RS14D,14,7,0,7.100436273
Slope,Variable,RS15A,15,7,0.963081862,19.0192293
Slope,Variable,RS15B,15,7,0,-6.830621269
Slope,Stable,RS15C,15,7,-0.542495479,-3.141114256
Slope,Stable,RS15D,15,7,1.538461538,-0.307755231
Slope,Variable,RS1A,1,7,1.002506266,10.74413606
Slope,Variable,RS1B,1,7,3.439153439,1.164993736
Slope,Stable,RS1C,1,7,1.170960187,13.86797392
Slope,Stable,RS1D,1,7,1.538461538,-7.47511206
Slope,Variable,RS2A,2,7,1.605136437,-14.28571429
Slope,Variable,RS2B,2,7,3.571428571,-3.017078466
Slope,Stable,RS2C,2,7,-0.892857143,-10.20938083
Slope,Variable,RS3A,3,7,2.255639098,20.23203072
Slope,Variable,RS3B,3,7,-0.571428571,3.352193132
Slope,Stable,RS3C,3,7,-14.28571429,-14.28571429
Slope,Stable,RS3D,3,7,0.996677741,1.73178269
Slope,Variable,RS6A,6,7,-0.824175824,-6.915089644
Slope,Variable,RS6B,6,7,1.503759398,-3.521000311
Slope,Stable,RS6C,6,7,0.579150579,4.570972608
Slope,Stable,RS6D,6,7,1.298701299,4.494113525
Slope,Variable,RS7A,7,7,-0.234192037,-0.158200097
Slope,Variable,RS7B,7,7,1.993355482,-2.371278053
Slope,Stable,RS7C,7,7,-0.793650794,6.818927168
Slope,Stable,RS7D,7,7,0.772200772,-3.042427965
Slope,Variable,RS8A,8,7,-1.19047619,-2.305165716
Slope,Variable,RS8B,8,7,0.246305419,-14.28571429
Slope,Stable,RS8C,8,7,-4.369747899,-4.20100622
Slope,Stable,RS8D,8,7,-0.313971743,-6.08832787
Slope,Variable,RS9A,9,7,-1.058201058,-4.471172824
Slope,Variable,RS9B,9,7,1.492537313,-14.28571429
Slope,Stable,RS9C,9,7,0.911854103,-3.951032675
Slope,Stable,RS9D,9,7,-14.28571429,-14.28571429
