"","Date","Time","Origin","Temperature","Date_Time","X","Treatment"
"139",2021-01-08,"23:30:00","Flat",25.222,2021-01-08 23:30:00,NA,NA
"140",2021-01-08,"23:30:00","Flat",25.61,2021-01-08 23:30:00,NA,NA
"141",2021-01-09,"00:00:00","Slope",25.61,2021-01-09 00:00:00,NA,NA
"142",2021-01-09,"00:00:00","Flat",25.028,2021-01-09 00:00:00,NA,NA
"143",2021-01-09,"00:00:00","Flat",25.416,2021-01-09 00:00:00,NA,NA
"144",2021-01-09,"00:30:00","Slope",25.319,2021-01-09 00:30:00,NA,NA
"145",2021-01-09,"00:30:00","Slope",25.416,2021-01-09 00:30:00,NA,NA
"146",2021-01-09,"00:30:00","Flat",24.931,2021-01-09 00:30:00,NA,NA
"147",2021-01-09,"00:30:00","Flat",25.319,2021-01-09 00:30:00,NA,NA
"148",2021-01-09,"01:00:00","Slope",25.319,2021-01-09 01:00:00,NA,NA
"149",2021-01-09,"01:00:00","Flat",24.738,2021-01-09 01:00:00,NA,NA
"150",2021-01-09,"01:00:00","Flat",25.125,2021-01-09 01:00:00,NA,NA
"151",2021-01-09,"01:30:00","Slope",25.416,2021-01-09 01:30:00,NA,NA
"152",2021-01-09,"01:30:00","Flat",24.448,2021-01-09 01:30:00,NA,NA
"153",2021-01-09,"01:30:00","Flat",24.835,2021-01-09 01:30:00,NA,NA
"154",2021-01-09,"02:00:00","Slope",25.028,2021-01-09 02:00:00,NA,NA
"155",2021-01-09,"02:00:00","Flat",25.513,2021-01-09 02:00:00,NA,NA
"156",2021-01-09,"02:00:00","Flat",25.805,2021-01-09 02:00:00,NA,NA
"157",2021-01-09,"02:30:00","Slope",24.835,2021-01-09 02:30:00,NA,NA
"158",2021-01-09,"02:30:00","Flat",25.805,2021-01-09 02:30:00,NA,NA
"159",2021-01-09,"02:30:00","Flat",26.097,2021-01-09 02:30:00,NA,NA
"160",2021-01-09,"03:00:00","Slope",24.931,2021-01-09 03:00:00,NA,NA
"161",2021-01-09,"03:00:00","Slope",25.028,2021-01-09 03:00:00,NA,NA
"162",2021-01-09,"03:00:00","Flat",25.902,2021-01-09 03:00:00,NA,NA
