"","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"58",8,35,27.1485,1,0,8.033,1.0896574655391e-05,404.743312892903,406.005622978286,404.743312892903,406.005622978286,404.743312892903,406.005624829811,0.00174119926493087,0.000219774401928719,0.00197187024151498,0.002281631,3.52451600857965,5.31158128121445
"59",8,35,27.1485,1,0,8.046,1.0501991699529e-05,390.086889400438,391.303468434484,390.086889400438,391.303468434484,390.086889400438,391.30347015434,0.00172913995928844,0.000224884114680572,0.00196452606566855,0.002282209,3.60646033073501,5.43507452868522
"60",8,35,27.1485,1,0,8.039,1.07298069667508e-05,398.548879420146,399.791861411,398.548879420146,399.791861411,398.548879420146,399.791863206284,0.00173840269019756,0.000222473873878565,0.00197160637104287,0.002285344,3.56780736561873,5.37682302252798
"61",8,35,27.947,1,0,8.241,5.75295652160855e-06,217.831992418505,218.504697656618,217.831992418505,218.504697656618,217.831992418505,218.504698184095,0.00150605743119993,0.000315902846936982,0.00182771323465852,0.002285375,5.08707435132857,7.64668200098731
"62",8,35,27.947,1,0,8.236,5.85001971402985e-06,221.507227667757,222.19128563838,221.507227667757,222.19128563838,221.507227667757,222.191286183806,0.00151393688858839,0.000313920572411083,0.00183370748071351,0.002288092,5.05515321482801,7.5986994548179
"63",8,35,27.947,1,0,8.219,6.15312183615378e-06,232.983994252128,233.703504364598,232.983994252128,233.703504364598,232.983994252128,233.70350496801,0.00153124948633372,0.000305321904352514,0.00184272451252239,0.00228418,4.91668639137117,7.39056179188306
"64",8,35,27.94793333,1,0,8.191,6.69496591404909e-06,253.506218338981,254.289115885234,253.506218338981,254.289115885234,253.506218338981,254.289116599617,0.0015620906155601,0.000292033660352483,0.00186081924182663,0.00228197,4.70272503321306,7.06892232727978
"65",8,35,27.94793333,1,0,8.188,6.77077960962856e-06,256.376919028334,257.168684744026,256.376919028334,257.168684744026,256.376919028334,257.168685474681,0.00156890457971773,0.000291288419662207,0.00186696377898957,0.002286611,4.69072414932282,7.05088314457621
"66",8,35,27.94793333,1,0,8.19,6.7355071087664e-06,255.041318754976,255.82895852652,255.041318754976,255.82895852652,255.041318754976,255.828959249582,0.00156793535102195,0.000292452164847977,0.00186712302297869,0.002288424,4.70946436444322,7.07905258339031
"67",8,35,27.85492308,1,0,7.909,1.50568562456589e-05,568.86548802189,570.6249208484,568.86548802189,570.6249208484,568.86548802189,570.62492445281,0.00183211562680428,0.000178326601774277,0.00202549908482422,0.002270224,2.87025861263071,4.31574897896841
"68",8,35,27.85492308,1,0,7.957,1.29813592730277e-05,490.450805769463,491.967572870888,490.450805769463,491.967572870888,490.450805769463,491.967575550058,0.00176416314335753,0.000191779419304482,0.00196892392193504,0.00223696,3.08678864794814,4.64132566210244
"69",8,35,27.85492308,1,0,7.946,1.33826580523379e-05,505.612338974689,507.176022209475,505.612338974689,507.176022209475,505.612338974689,507.176025056857,0.00177321320244144,0.000187942158694943,0.00197453801918872,0.002236502,3.02502595969045,4.54845867875344
"70",8,35,27.80614286,1,0,8.04,1.0277965510853e-05,387.860597132374,389.060656761272,387.860597132374,389.060656761272,387.860597132374,389.060658438502,0.00168941932059751,0.000221938658711939,0.0019216359448203,0.002237217,3.57130630491593,5.37070265267013
"71",8,35,27.80614286,1,0,8.049,1.00066746917818e-05,377.62286876382,378.791238430301,377.62286876382,378.791238430301,377.62286876382,378.791240020154,0.00167926827010768,0.000225224474617499,0.00191449941941696,0.002235347,3.62417972105902,5.45021624576198
